Id;año_nacimiento;año_grado;años_estudio;edad_grado;sexo;estado_procedencia;prom_general;prom_ponderado
1;1981;2006;8;26;F;Mérida;12,733;13,211
2;1974;2006;15;33;M;Mérida;9,104;9,31
3;1968;2006;20;39;M;Mérida;8,548;8,86
4;1981;2006;8;25;M;Mérida;14,956;15,199
5;1982;2006;6;24;F;Mérida;14,786;15,148
6;1980;2006;8;26;F;Mérida;11,346;11,671
7;1979;2006;10;27;M;Mérida;10,158;10,409
8;1981;2006;7;25;M;Mérida;13,761;14,051
9;1982;2006;6;24;M;Mérida;17,837;17,985
10;1982;2006;7;24;F;Mérida;16,884;17,015
11;1981;2007;8;26;M;Miranda;13,082;13,274
12;1981;2006;8;25;F;Trujillo;10,904;11,283
13;1980;2006;8;25;M;Trujillo;10,547;11,169
14;1981;2006;7;25;F;Trujillo;13,419;13,931
15;1981;2006;7;25;M;Trujillo;12,128;12,518
16;1978;2005;6;27;M;Trujillo;13,543;13,977
17;1973;2006;15;33;M;Mérida;8,589;8,756
18;1981;2007;8;26;M;Trujillo;11,745;11,951
19;1979;2007;10;27;F;Táchira;10,967;11,266
20;1970;2006;19;36;M;Mérida;7,611;7,496
21;1955;2006;27;52;M;Trujillo;6,835;7,029
22;1978;2006;10;29;M;Lara;11,519;11,882
23;1982;2007;7;25;M;Mérida;15,476;15,68
24;1982;2007;7;25;M;Táchira;12,52;12,868
25;1982;2007;7;25;F;Monagas;11,896;12,328
26;1981;2006;8;26;F;Trujillo;11,5;11,516
27;1982;2006;7;24;F;Mérida;13,872;14,186
28;1981;2006;5;26;F;Trujillo;12,54;12,833
29;1982;2006;7;24;F;Mérida;15,109;15,237
30;1983;2007;7;24;F;Trujillo;13,205;13,533
31;1983;2006;7;24;F;Mérida;15,767;16,029
32;1981;2006;7;25;F;Bolívar;15,333;15,455
33;1981;2007;8;26;F;Mérida;13,083;13,162
34;1982;2006;7;25;M;Trujillo;13,233;13,433
35;1983;2007;7;24;F;Mérida;18,372;18,478
36;1981;2006;8;25;F;Trujillo;12,14;12,328
37;1982;2006;7;24;F;Nueva Esparta;12,469;12,628
38;1982;2007;7;25;F;Portuguesa;13,773;14,076
39;1982;2007;7;25;F;Mérida;13,348;13,563
40;1979;2007;7;28;M;Trujillo;11,46;11,861
41;1982;2006;7;24;F;Táchira;12,5;12,819
42;1981;2006;8;26;M;Aragua;12,844;13,066
43;1979;2006;7;27;M;Mérida;14,756;14,913
44;1981;2006;8;25;F;Mérida;11,648;11,996
45;1982;2006;7;24;F;Táchira;15,69;15,961
46;1969;2007;20;38;M;Sucre;8,718;8,775
47;1979;2006;8;26;F;Mérida;11,612;11,89
48;1978;2006;10;28;M;Distrito Capital;10,982;11,103
49;1981;2005;7;24;M;Mérida;13,644;13,995
50;1981;2007;7;25;F;Distrito Capital;13,667;13,87
51;1983;2007;7;24;M;Mérida;13,222;13,535
52;1979;2007;11;27;M;Mérida;12,692;12,298
53;1981;2007;8;26;F;Barinas;15,619;16,054
54;1979;2005;10;26;M;Mérida;10,7;10,942
55;1982;2005;6;24;F;Mérida;17,419;17,592
56;1980;2006;6;26;M;Trujillo;11,551;11,941
57;1980;2006;6;25;F;Distrito Capital;13,091;13,358
58;1980;2006;8;26;F;Mérida;13,933;14,117
59;1981;2007;3;26;F;Trujillo;11,74;11,958
60;1981;2006;7;25;F;Mérida;13,413;13,912
61;1979;2006;8;27;M;Mérida;10,593;10,694
62;1982;2005;7;24;F;Falcón;12,375;12,79
63;1983;2006;7;23;F;Trujillo;14,356;14,565
64;1980;2006;27;27;F;Mérida;11,896;12,172
65;1982;2006;7;24;F;Zulia;13,907;14,439
66;1982;2006;7;24;F;Trujillo;14,429;14,767
67;1979;2007;8;28;M;Mérida;11,902;12,266
68;1979;2007;10;28;F;Mérida;11,741;11,902
69;1981;2007;8;25;M;Mérida;11,46;11,642
70;1983;2006;7;24;F;Trujillo;13,422;13,72
71;1977;2006;8;29;F;Táchira;11,367;11,619
72;1979;2006;7;28;F;Trujillo;11,458;11,874
73;1978;2006;9;28;M;Mérida;11,091;11,104
74;1981;2006;8;26;M;Trujillo;11,673;12,047
75;1981;2006;8;26;F;Mérida;13,939;14,066
76;1980;2006;9;26;M;Mérida;12,48;12,925
77;1979;2006;10;28;F;Trujillo;9,569;9,951
78;1982;2006;7;25;F;Zulia;13,574;13,594
79;1982;2006;7;25;M;Mérida;14,595;14,616
80;1981;2007;8;26;F;Trujillo;13,884;14,194
81;1981;2006;8;26;M;Mérida;13,867;14,13
82;1981;2006;7;25;M;Mérida;14,395;14,399
83;1982;2006;8;25;F;Barinas;13,51;13,655
84;1974;2003;7;29;M;Mérida;10,39;10,61
85;1974;2004;12;30;F;Mérida;9,82;10,01
86;1965;2000;11;36;M;Mérida;6,52;6,98
87;1969;2000;5;32;F;Mérida;12,19;12,51
88;1987;2010;7;24;M;Carabobo;13,522;13,729
89;1986;2010;5;24;F;Mérida;15,214;15,258
90;1986;2010;7;25;M;Mérida;12,644;12,834
91;1988;2010;7;23;M;Mérida;16,14;16,281
92;1986;2010;7;25;M;Mérida;13,067;13,209
93;1986;2010;5;25;F;Trujillo;11,688;11,836
94;1985;2010;8;25;M;Trujillo;12,104;12,278
95;1987;2010;6;23;M;Mérida;13,432;13,62
96;1986;2010;7;24;F;Trujillo;14,119;14,382
97;1983;2010;7;27;F;Táchira;13,422;13,591
98;1985;2010;8;26;M;Mérida;12,521;12,637
99;1987;2010;6;23;F;Trujillo;16,907;17,03
100;1983;2010;10;27;M;Miranda;11,136;11,349
101;1986;2010;5;25;M;Mérida;14,318;14,587
102;1970;2002;15;32;M;Mérida;8,09;8,33
103;1971;2002;6;32;F;Distrito Capital;9,85;9,92
104;1971;2003;11;32;M;Lara;10,96;11,11
105;1975;2001;10;27;F;Mérida;9,79;10,07
106;1972;2002;5;30;F;Mérida;11,98;12,18
107;1971;2001;13;30;F;Barinas;7,84;8,04
108;1973;2000;9;26;F;Trujillo;12,67;12,86
109;1973;2005;14;31;F;Trujillo;9,96;10,18
110;1973;2002;8;29;F;Trujillo;9,84;9,79
111;1976;2000;7;24;F;Trujillo;12,39;12,38
112;1978;2004;9;26;F;Trujillo;11,36;11,66
113;1975;2005;12;29;M;Mérida;8,76;9,16
114;1977;2002;8;25;F;Mérida;11,36;11,4
115;1978;2000;6;23;F;Mérida;15,27;15,52
116;1976;2000;7;24;F;Mérida;14,51;14,67
117;1977;2003;7;25;F;Trujillo;10,45;10,83
118;1977;2001;6;24;M;Mérida;12,11;12,41
119;1977;2002;7;25;F;Distrito Capital;13,69;13,74
120;1978;2004;8;26;M;Distrito Capital;14,02;14,21
121;1975;2003;9;29;M;Trujillo;12,06;12,35
122;1978;2003;7;25;F;Mérida;13,48;13,682
123;1978;2003;7;25;M;Mérida;13,51;13,97
124;1978;2003;8;25;M;Mérida;13,67;13,9
125;1970;2002;7;32;F;Trujillo;12,33;12,44
126;1978;2002;8;24;M;Mérida;12,02;12,31
127;1978;2002;7;24;F;Mérida;14,57;14,88
128;1978;2005;7;26;F;Mérida;12,09;12,5
129;1979;2005;9;26;F;Trujillo;10,12;10,39
130;1979;2004;7;25;M;Mérida;11,18;11,57
131;1980;2005;7;24;F;Mérida;13,04;13,3
132;1979;2005;7;26;M;Mérida;14,32;14,57
133;1981;2003;6;22;F;Trujillo;16,49;16,75
134;1979;2004;7;25;F;Trujillo;14,14;14,48
135;1979;2004;6;25;F;Zulia;12,74;13,04
136;1981;2005;7;24;M;Trujillo;15,44;15,67
137;1980;2005;8;25;F;Mérida;14,98;15,16
138;1981;2005;7;24;M;Falcón;16,07;16,23
139;1966;2001;17;34;M;Trujillo;8,57;8,31
140;1980;2007;10;27;F;Trujillo;10,643;10,7
141;1975;2007;15;32;M;Mérida;11;11,17
142;1981;2007;12;26;F;Táchira;10,22;10,609
143;1983;2007;8;24;M;Táchira;12,553;12,837
144;1980;2007;10;28;F;Mérida;9,349;9,736
145;1972;2007;17;35;F;Mérida;7,81;7,854
146;1980;2007;9;27;F;Trujillo;9,927;9,629
147;1982;2007;7;25;F;Miranda;12,795;13,152
148;1980;2007;8;27;F;Trujillo;11,039;11,142
149;1978;2007;9;29;F;Trujillo;9,87;9,912
150;1981;2007;7;27;F;Trujillo;12,378;12,818
151;1968;2007;20;40;F;Mérida;7,714;7,824
152;1980;2007;9;27;F;Trujillo;11,375;11,355
153;1978;2007;11;30;F;Mérida;11,49;11,73
154;1980;2007;8;27;M;Mérida;13;13,192
155;1978;2007;13;30;M;Trujillo;8,351;8,524
156;1983;2007;7;24;M;Mérida;16,023;16,139
157;1983;2007;7;24;M;Distrito Capital;17,6;17,659
158;1983;2007;7;24;M;Mérida;14,442;14,601
159;1982;2007;8;26;F;Apure;11,915;12,111
160;1982;2007;8;25;M;Falcón;14,804;14,954
161;1979;2007;7;28;F;Mérida;12,02;12,162
162;1982;2007;6;25;F;Mérida;16,884;17,049
163;1982;2007;6;25;F;Mérida;15,93;16,059
164;1983;2007;7;25;F;Mérida;17,023;17,144
165;1978;2007;11;29;F;Distrito Capital;10,322;10,424
166;1980;2007;8;27;F;Trujillo;12;12,469
167;1986;2008;1;22;M;Táchira;17,091;17,196
168;1970;2004;8;34;F;Nueva Esparta;10,08;10,38
169;1977;2003;8;26;M;Mérida;10,6;10,88
170;1981;2008;10;27;F;Mérida;10,875;11,427
171;1983;2008;5;25;M;Mérida;13,86;14,108
172;1983;2008;8;25;F;Mérida;14,136;14,109
173;1984;2008;8;24;F;Zulia;12,8;12,925
174;1968;2004;16;36;F;Distrito Capital;10,47;10,83
175;1983;2006;7;24;F;Sucre;12,341;12,563
176;1983;2009;9;26;F;Mérida;10,186;10,505
177;1984;2008;5;25;F;Trujillo;16,481;16,612
178;1982;2008;9;26;F;Trujillo;11,107;11,134
179;1981;2008;9;27;M;Miranda;12,13;12,413
180;1983;2008;7;25;M;Mérida;14,818;14,995
181;1982;2008;8;26;M;Zulia;13,756;13,953
182;1983;2008;8;25;F;Mérida;11,913;12,124
183;1984;2008;8;24;M;Táchira;14,341;14,514
184;1979;2008;14;29;F;Trujillo;8,444;8,6
185;1984;2008;7;25;M;Mérida;14,022;14,014
186;1984;2008;5;25;F;Trujillo;12,043;12,214
187;1984;2008;6;24;F;Mérida;15,233;15,471
188;1983;2008;8;25;F;Mérida;13,864;14,038
189;1983;2008;8;26;F;Mérida;11,681;11,834
190;1982;2008;7;26;F;Mérida;14,818;14,928
191;1982;2008;8;26;F;Trujillo;12,277;12,475
192;1984;2008;8;24;F;Barinas;14,733;14,813
193;1983;2008;8;26;F;Trujillo;13,182;13,379
194;1983;2008;8;25;M;Mérida;17,762;17,925
195;1982;2008;8;26;M;Mérida;11,887;12,108
196;1983;2008;6;25;M;Mérida;11,778;12,043
197;1983;2008;9;26;M;Trujillo;14,614;14,785
198;1983;2008;5;25;M;Bolívar;11,891;12,256
199;1983;2008;8;25;M;Zulia;10,882;11,091
200;1981;2008;9;27;M;Yaracuy;13,063;13,279
201;1985;2008;6;23;M;Cojedes;18,238;18,392
202;1984;2008;8;25;M;Trujillo;12,435;12,571
203;1965;2008;25;43;F;Mérida;7,848;8,089
