2013	62246
2012	76058
2011	58268
2010	19259
2009	08294
2008	32365
2007	06381
2006	20297
2005	60657
2004	54600
2003	42473
2002	08103
2001	18795
2000	49740
1999	65379
1998	21856
1997	43728
1996	56169
1995	45495
1994	49595
1993	47884
1992	31466
1991	47996
1990	32522
1989	61714
1988	21583
1987	20064
1986	03772
1985	63369
1984	50076
1983	53288
1982	21515
1981	23786
1980	60076
1979	40286
1978	15640
1977	34571
1976	49764
1975	47107
1974	12176
1973	34739
1972	42435
1971	23238
1970	19381
1969	59536
1968	57150
1967	43758
1966	48677
1965	49873
1964	20426
1963	19936
1962	00675
1961	24964
1960	02365
1959	36600
1958	33704
1957	53414
1956	15640
1955	50580
1954	53584
1953	03270
1952	25766
1951	02704
1950	45749
1949	55666
1948	26664
1947	35920
1946	45590
1945	42587
1944	33037
1943	34545
1942	09029
1941	58856
1940	43944
1939	13093
1938	36758
1938	22655
1937	01165
1936	05287
1935	25888
1934	02686
1933	07139
1932	29757
1931	24717
1930	24630
1929	53453
1928	06692
1927	10123
1926	17229
1925	11519
1924	15770
1923	18398
1922	46460
1921	28876
1920	09053
1919	53452
1918	05605
1917	02091
1916	19158
1915	48685
1914	50047
1913	18073
1912	10644
1911	03884
1910	22101
1909	24056
1908	35819
1907	02048
1906	34746
1905	32865
1904	15162
1903	20297
1902	28038
1901	30565
1900	26285
1899	12515
1898	52761
1897	13515
1896	08669
1895	25444
1894	08653
1893	31892
1892	40297
1891	33558
1890	15020
1889	45400
1888	04211
1887	24566
1886	06695
1885	45488
1884	14292
1883	38608
1882	06679
1881	17057
1880	35999
1879	25018
1878	06157
1877	12797
1876	21690
1875	07932
1874	09452
1873	10014
1872	16374
1871	09457
1870	09914
1869	18875
1868	04385
1867	14985
1866	00615
1865	01603
1864	18968
1863	03224
1862	04036
1861	23033
1860	20563
1859	18400
1858	12085
1857	02147
1856	13094
1855	15406
1854	14938
1853	16673
1852	11528
1851	12105
1850	12223
1849	12724
1848	01474
1847	14292
1846	04457
1845	13046
1844	07312
1843	09975
1842	05228
1841	06585
1840	01660
1839	01833
1838	06094
1837	10998
1836	03616
1835	07102
1834	07175
1833	09703
1832	07589
1831	08318
1830	01490
1829	02652
1828	02127
1827	00523
1826	06835
1825	14544
1824	09275
1823	02124
1822	01879
1821	09311
1820	08364
1819	02457
1818	15389
1817	08705
1816	32026
1815	34503
1814	33466
1813	23892
1812	08553
1811	03604

